meter_name,date,record_count
Building A108a,2025-08-02,603
Building A108a,2025-08-03,68
Building A108a,2025-08-04,974
Building A108a,2025-08-05,1134
Building A108a,2025-08-06,0
Building A108a,2025-08-07,0
Building A108a,2025-08-08,603
Building A108a,2025-08-09,1227
Building A108a,2025-08-10,1225
Building A108a,2025-08-11,1234
Building A108a,2025-08-12,1223
Building A108a,2025-08-13,1183
Building A108a,2025-08-14,38
Building A108a,2025-08-15,0
Building A108a,2025-08-16,63
Building A108a,2025-08-17,1038
Building A108a,2025-08-18,0
Building A108a,2025-08-19,332
Building A108a,2025-08-20,18
Building A108a,2025-08-21,18
Building A108a,2025-08-22,459
Building A108a,2025-08-23,107
Building A110,2025-07-21,654
Building A110,2025-07-22,1274
Building A110,2025-07-23,802
Building A110,2025-07-24,22
Building A110,2025-07-25,22
Building A110,2025-07-26,24
Building A110,2025-07-27,24
Building A110,2025-07-28,86
Building A110,2025-07-29,69
Building A110,2025-07-30,0
Building A110,2025-07-31,1
Building A110,2025-08-01,309
Building A110,2025-08-02,603
Building A110,2025-08-03,69
Building A110,2025-08-04,978
Building A110,2025-08-05,1134
Building A110,2025-08-06,0
Building A110,2025-08-07,0
Building A110,2025-08-08,604
Building A110,2025-08-09,1223
Building A110,2025-08-10,1225
Building A110,2025-08-11,1237
Building A110,2025-08-12,1225
Building A110,2025-08-13,1184
Building A110,2025-08-14,38
Building A110,2025-08-15,0
Building A110,2025-08-16,60
Building A110,2025-08-17,1038
Building A110,2025-08-18,0
Building A110,2025-08-19,333
Building A110,2025-08-20,20
Building A110,2025-08-21,16
Building A110,2025-08-22,459
Building A110,2025-08-23,107
Building A110a,2025-07-21,656
Building A110a,2025-07-22,1279
Building A110a,2025-07-23,805
Building A110a,2025-07-24,21
Building A110a,2025-07-25,17
Building A110a,2025-07-26,18
Building A110a,2025-07-27,21
Building A110a,2025-07-28,82
Building A110a,2025-07-29,68
Building A110a,2025-07-30,1
Building A110a,2025-07-31,2
Building A110a,2025-08-01,308
Building A110a,2025-08-02,603
Building A110a,2025-08-03,69
Building A110a,2025-08-04,976
Building A110a,2025-08-05,1135
Building A110a,2025-08-06,0
Building A110a,2025-08-07,0
Building A110a,2025-08-08,605
Building A110a,2025-08-09,1226
Building A110a,2025-08-10,1224
Building A110a,2025-08-11,1236
Building A110a,2025-08-12,1223
Building A110a,2025-08-13,1184
Building A110a,2025-08-14,39
Building A110a,2025-08-15,0
Building A110a,2025-08-16,62
Building A110a,2025-08-17,1038
Building A110a,2025-08-18,0
Building A110a,2025-08-19,333
Building A110a,2025-08-20,15
Building A110a,2025-08-21,17
Building A110a,2025-08-22,459
Building A110a,2025-08-23,107
Building A201,2025-07-21,653
Building A201,2025-07-22,1274
Building A201,2025-07-23,807
Building A201,2025-07-24,22
Building A201,2025-07-25,21
Building A201,2025-07-26,23
Building A201,2025-07-27,23
Building A201,2025-07-28,88
Building A201,2025-07-29,69
Building A201,2025-07-30,0
Building A201,2025-07-31,0
Building A201,2025-08-01,306
Building A201,2025-08-02,603
Building A201,2025-08-03,68
Building A201,2025-08-04,974
Building A201,2025-08-05,1135
Building A201,2025-08-06,0
Building A201,2025-08-07,0
Building A201,2025-08-08,604
Building A201,2025-08-09,1226
Building A201,2025-08-10,1222
Building A201,2025-08-11,1232
Building A201,2025-08-12,1222
Building A201,2025-08-13,1179
Building A201,2025-08-14,39
Building A201,2025-08-15,0
Building A201,2025-08-16,64
Building A201,2025-08-17,1039
Building A201,2025-08-18,0
Building A201,2025-08-19,332
Building A201,2025-08-20,20
Building A201,2025-08-21,18
Building A201,2025-08-22,457
Building A201,2025-08-23,107
Building A201a,2025-07-21,657
Building A201a,2025-07-22,1278
Building A201a,2025-07-23,803
Building A201a,2025-07-24,23
Building A201a,2025-07-25,19
Building A201a,2025-07-26,23
Building A201a,2025-07-27,21
Building A201a,2025-07-28,88
Building A201a,2025-07-29,68
Building A201a,2025-07-30,0
Building A201a,2025-07-31,2
Building A201a,2025-08-01,309
Building A201a,2025-08-02,603
Building A201a,2025-08-03,67
Building A201a,2025-08-04,979
Building A201a,2025-08-05,1135
Building A201a,2025-08-06,0
Building A201a,2025-08-07,0
Building A201a,2025-08-08,606
Building A201a,2025-08-09,1220
Building A201a,2025-08-10,1222
Building A201a,2025-08-11,1235
Building A201a,2025-08-12,1226
Building A201a,2025-08-13,1191
Building A201a,2025-08-14,39
Building A201a,2025-08-15,0
Building A201a,2025-08-16,62
Building A201a,2025-08-17,1039
Building A201a,2025-08-18,0
Building A201a,2025-08-19,333
Building A201a,2025-08-20,17
Building A201a,2025-08-21,18
Building A201a,2025-08-22,457
Building A201a,2025-08-23,107
Building A202,2025-07-21,653
Building A202,2025-07-22,1276
Building A202,2025-07-23,801
Building A202,2025-07-24,22
Building A202,2025-07-25,22
Building A202,2025-07-26,24
Building A202,2025-07-27,23
Building A202,2025-07-28,88
Building A202,2025-07-29,70
Building A202,2025-07-30,0
Building A202,2025-07-31,0
Building A202,2025-08-01,310
Building A202,2025-08-02,603
Building A202,2025-08-03,69
Building A202,2025-08-04,978
Building A202,2025-08-05,1134
Building A202,2025-08-06,0
Building A202,2025-08-07,0
Building A202,2025-08-08,603
Building A202,2025-08-09,1229
Building A202,2025-08-10,1225
Building A202,2025-08-11,1236
Building A202,2025-08-12,1226
Building A202,2025-08-13,1188
Building A202,2025-08-14,39
Building A202,2025-08-15,0
Building A202,2025-08-16,61
Building A202,2025-08-17,1040
Building A202,2025-08-18,0
Building A202,2025-08-19,333
Building A202,2025-08-20,17
Building A202,2025-08-21,17
Building A202,2025-08-22,457
Building A202,2025-08-23,107
Building A202a,2025-07-21,651
Building A202a,2025-07-22,1277
Building A202a,2025-07-23,806
Building A202a,2025-07-24,21
Building A202a,2025-07-25,21
Building A202a,2025-07-26,24
Building A202a,2025-07-27,22
Building A202a,2025-07-28,88
Building A202a,2025-07-29,70
Building A202a,2025-07-30,0
Building A202a,2025-07-31,2
Building A202a,2025-08-01,308
Building A202a,2025-08-02,603
Building A202a,2025-08-03,70
Building A202a,2025-08-04,978
Building A202a,2025-08-05,1134
Building A202a,2025-08-06,0
Building A202a,2025-08-07,0
Building A202a,2025-08-08,604
Building A202a,2025-08-09,1228
Building A202a,2025-08-10,1224
Building A202a,2025-08-11,1235
Building A202a,2025-08-12,1225
Building A202a,2025-08-13,1178
Building A202a,2025-08-14,39
Building A202a,2025-08-15,0
Building A202a,2025-08-16,63
Building A202a,2025-08-17,1038
Building A202a,2025-08-18,0
Building A202a,2025-08-19,333
Building A202a,2025-08-20,19
Building A202a,2025-08-21,18
Building A202a,2025-08-22,462
Building A202a,2025-08-23,107
Building A203,2025-07-21,651
Building A203,2025-07-22,1277
Building A203,2025-07-23,805
Building A203,2025-07-24,23
Building A203,2025-07-25,22
Building A203,2025-07-26,24
Building A203,2025-07-27,22
Building A203,2025-07-28,86
Building A203,2025-07-29,69
Building A203,2025-07-30,1
Building A203,2025-07-31,2
Building A203,2025-08-01,309
Building A203,2025-08-02,603
Building A203,2025-08-03,69
Building A203,2025-08-04,977
Building A203,2025-08-05,1134
Building A203,2025-08-06,0
Building A203,2025-08-07,0
Building A203,2025-08-08,605
Building A203,2025-08-09,1224
Building A203,2025-08-10,1223
Building A203,2025-08-11,1234
Building A203,2025-08-12,1224
Building A203,2025-08-13,1183
Building A203,2025-08-14,39
Building A203,2025-08-15,0
Building A203,2025-08-16,63
Building A203,2025-08-17,1039
Building A203,2025-08-18,0
Building A203,2025-08-19,333
Building A203,2025-08-20,17
Building A203,2025-08-21,18
Building A203,2025-08-22,461
Building A203,2025-08-23,107
Building A203a,2025-07-21,655
Building A203a,2025-07-22,1277
Building A203a,2025-07-23,805
Building A203a,2025-07-24,22
Building A203a,2025-07-25,20
Building A203a,2025-07-26,22
Building A203a,2025-07-27,23
Building A203a,2025-07-28,88
Building A203a,2025-07-29,69
Building A203a,2025-07-30,0
Building A203a,2025-07-31,2
Building A203a,2025-08-01,308
Building A203a,2025-08-02,603
Building A203a,2025-08-03,70
Building A203a,2025-08-04,976
Building A203a,2025-08-05,1133
Building A203a,2025-08-06,0
Building A203a,2025-08-07,0
Building A203a,2025-08-08,605
Building A203a,2025-08-09,1225
Building A203a,2025-08-10,1223
Building A203a,2025-08-11,1236
Building A203a,2025-08-12,1226
Building A203a,2025-08-13,1182
Building A203a,2025-08-14,39
Building A203a,2025-08-15,0
Building A203a,2025-08-16,62
Building A203a,2025-08-17,1039
Building A203a,2025-08-18,0
Building A203a,2025-08-19,332
Building A203a,2025-08-20,19
Building A203a,2025-08-21,16
Building A203a,2025-08-22,459
Building A203a,2025-08-23,107
Building A205,2025-07-21,652
Building A205,2025-07-22,1272
Building A205,2025-07-23,806
Building A205,2025-07-24,22
Building A205,2025-07-25,22
Building A205,2025-07-26,23
Building A205,2025-07-27,22
Building A205,2025-07-28,88
Building A205,2025-07-29,69
Building A205,2025-07-30,0
Building A205,2025-07-31,3
Building A205,2025-08-01,310
Building A205,2025-08-02,603
Building A205,2025-08-03,66
Building A205,2025-08-04,977
Building A205,2025-08-05,1135
Building A205,2025-08-06,0
Building A205,2025-08-07,0
Building A205,2025-08-08,604
Building A205,2025-08-09,1225
Building A205,2025-08-10,1224
Building A205,2025-08-11,1235
Building A205,2025-08-12,1220
Building A205,2025-08-13,1182
Building A205,2025-08-14,39
Building A205,2025-08-15,0
Building A205,2025-08-16,63
Building A205,2025-08-17,1040
Building A205,2025-08-18,0
Building A205,2025-08-19,332
Building A205,2025-08-20,17
Building A205,2025-08-21,18
Building A205,2025-08-22,462
Building A205,2025-08-23,107
Building A205a,2025-07-21,656
Building A205a,2025-07-22,1280
Building A205a,2025-07-23,806
Building A205a,2025-07-24,21
Building A205a,2025-07-25,21
Building A205a,2025-07-26,23
Building A205a,2025-07-27,22
Building A205a,2025-07-28,84
Building A205a,2025-07-29,69
Building A205a,2025-07-30,0
Building A205a,2025-07-31,3
Building A205a,2025-08-01,307
Building A205a,2025-08-02,602
Building A205a,2025-08-03,69
Building A205a,2025-08-04,979
Building A205a,2025-08-05,1136
Building A205a,2025-08-06,0
Building A205a,2025-08-07,0
Building A205a,2025-08-08,605
Building A205a,2025-08-09,1226
Building A205a,2025-08-10,1224
Building A205a,2025-08-11,1235
Building A205a,2025-08-12,1226
Building A205a,2025-08-13,1183
Building A205a,2025-08-14,39
Building A205a,2025-08-15,0
Building A205a,2025-08-16,62
Building A205a,2025-08-17,1039
Building A205a,2025-08-18,0
Building A205a,2025-08-19,333
Building A205a,2025-08-20,20
Building A205a,2025-08-21,16
Building A205a,2025-08-22,460
Building A205a,2025-08-23,106
Building A206,2025-07-21,655
Building A206,2025-07-22,1278
Building A206,2025-07-23,807
Building A206,2025-07-24,23
Building A206,2025-07-25,22
Building A206,2025-07-26,24
Building A206,2025-07-27,23
Building A206,2025-07-28,88
Building A206,2025-07-29,70
Building A206,2025-07-30,0
Building A206,2025-07-31,1
Building A206,2025-08-01,310
Building A206,2025-08-02,603
Building A206,2025-08-03,69
Building A206,2025-08-04,979
Building A206,2025-08-05,1134
Building A206,2025-08-06,0
Building A206,2025-08-07,0
Building A206,2025-08-08,605
Building A206,2025-08-09,1226
Building A206,2025-08-10,1224
Building A206,2025-08-11,1235
Building A206,2025-08-12,1224
Building A206,2025-08-13,1177
Building A206,2025-08-14,39
Building A206,2025-08-15,0
Building A206,2025-08-16,63
Building A206,2025-08-17,1039
Building A206,2025-08-18,0
Building A206,2025-08-19,333
Building A206,2025-08-20,18
Building A206,2025-08-21,17
Building A206,2025-08-22,460
Building A206,2025-08-23,107
Building A206a,2025-07-21,653
Building A206a,2025-07-22,1277
Building A206a,2025-07-23,802
Building A206a,2025-07-24,23
Building A206a,2025-07-25,21
Building A206a,2025-07-26,23
Building A206a,2025-07-27,23
Building A206a,2025-07-28,86
Building A206a,2025-07-29,68
Building A206a,2025-07-30,0
Building A206a,2025-07-31,1
Building A206a,2025-08-01,308
Building A206a,2025-08-02,603
Building A206a,2025-08-03,69
Building A206a,2025-08-04,975
Building A206a,2025-08-05,1135
Building A206a,2025-08-06,0
Building A206a,2025-08-07,0
Building A206a,2025-08-08,605
Building A206a,2025-08-09,1225
Building A206a,2025-08-10,1223
Building A206a,2025-08-11,1233
Building A206a,2025-08-12,1223
Building A206a,2025-08-13,1183
Building A206a,2025-08-14,39
Building A206a,2025-08-15,0
Building A206a,2025-08-16,63
Building A206a,2025-08-17,1039
Building A206a,2025-08-18,0
Building A206a,2025-08-19,333
Building A206a,2025-08-20,19
Building A206a,2025-08-21,18
Building A206a,2025-08-22,461
Building A206a,2025-08-23,107
Building A207,2025-07-21,652
Building A207,2025-07-22,1279
Building A207,2025-07-23,805
Building A207,2025-07-24,23
Building A207,2025-07-25,22
Building A207,2025-07-26,24
Building A207,2025-07-27,23
Building A207,2025-07-28,87
Building A207,2025-07-29,70
Building A207,2025-07-30,0
Building A207,2025-07-31,1
Building A207,2025-08-01,309
Building A207,2025-08-02,601
Building A207,2025-08-03,66
Building A207,2025-08-04,978
Building A207,2025-08-05,1134
Building A207,2025-08-06,0
Building A207,2025-08-07,0
Building A207,2025-08-08,602
Building A207,2025-08-09,1224
Building A207,2025-08-10,1226
Building A207,2025-08-11,1231
Building A207,2025-08-12,1219
Building A207,2025-08-13,1185
Building A207,2025-08-14,39
Building A207,2025-08-15,0
Building A207,2025-08-16,63
Building A207,2025-08-17,1038
Building A207,2025-08-18,0
Building A207,2025-08-19,332
Building A207,2025-08-20,18
Building A207,2025-08-21,18
Building A207,2025-08-22,461
Building A207,2025-08-23,107
Building A207a,2025-07-21,652
Building A207a,2025-07-22,1277
Building A207a,2025-07-23,806
Building A207a,2025-07-24,23
Building A207a,2025-07-25,17
Building A207a,2025-07-26,22
Building A207a,2025-07-27,23
Building A207a,2025-07-28,86
Building A207a,2025-07-29,69
Building A207a,2025-07-30,0
Building A207a,2025-07-31,6
Building A207a,2025-08-01,309
Building A207a,2025-08-02,603
Building A207a,2025-08-03,70
Building A207a,2025-08-04,976
Building A207a,2025-08-05,1132
Building A207a,2025-08-06,0
Building A207a,2025-08-07,0
Building A207a,2025-08-08,602
Building A207a,2025-08-09,1227
Building A207a,2025-08-10,1223
Building A207a,2025-08-11,1232
Building A207a,2025-08-12,1219
Building A207a,2025-08-13,1184
Building A207a,2025-08-14,39
Building A207a,2025-08-15,0
Building A207a,2025-08-16,63
Building A207a,2025-08-17,1039
Building A207a,2025-08-18,0
Building A207a,2025-08-19,332
